@tag='001'	Recorder Identifier
@tag='005'	Version Identifier
@tag='010'	ISBN
@tag='011'	ISSN
@tag='012'	Fingerprint Identifier
@tag='013'	ISMN
@tag='014'	Article Identifier
@tag='015'	ISRN
@tag='016'	ISRC
@tag='020'	National Bibliography Number
@tag='021'	Legal Deposit Number
@tag='022'	Governement Publication Number
@tag='035'	Other System Control Numbers
@tag='040'	Coden (Serials)
@tag='071'	Publisher's Number (Sound Recordings and Music)
@tag='100'	General processing data
@tag='101'	Language of the item
@tag='102'	Country of Publication or Production
@tag='105'	Code data field: Textual material, monographic
@tag='106'	Textual material - Physical attributes
@tag='110'	Serials
@tag='115'	Visual Projections, Videorecordings and Motion Pictures
@tag='116'	Graphics
@tag='117'	Three-Dimensional artefacts and realia
@tag='120'	Cartographic Materials - General
@tag='121'	Cartographic Materials: Physical attributes
@tag='122'	Coded data field:Time period of item content
@tag='123'	Cartographic Materials - Scale and Coordinates
@tag='124'	Cartographic Materials - Specific material designation analysis
@tag='125'	Sound Recordings and Printed Music
@tag='126'	Sound Recordings - Physical attributes
@tag='127'	Duration of sound recordings and printed music
@tag='128'	Music performances and scores
@tag='130'	Microforms - Physical Attributes
@tag='131'	Cartographic Materials - Geodetic, grid and vertical measurement
@tag='135'	Electronic resources
@tag='140'	Antiquarian - General
@tag='141'	Antiquarian - Copy specific attributes
@tag='200'	Title and Statement of Responsability
@tag='205'	Edition Statement
@tag='206'	Material Specific Area: Cartographic Materials - Mathematical Data
@tag='207'	Material Specific Area: Serials Numbering
@tag='208'	Material Specific Area: Printed Music Specific Statement
@tag='210'	Publication, Distribuition, Etc.
@tag='211'	Projected Publication Date
@tag='215'	Physical Description
@tag='225'	Series
@tag='230'	Material Specific Area: Electronic Resource Characteristics
@tag='300'	General Notes
@tag='301'	Notes Pertaining to Identification Numbers
@tag='302'	Notes Pertaining to Coded Information
@tag='303'	General Notes Pertaining do Descriptive Information
@tag='304'	Notes Pertaining to Title and Statement of Responsability
@tag='305'	Notes Pertaining to Edition and Bibliographic History
@tag='306'	Notes Pertaining to publication, distribution, etc.
@tag='307'	Notes Pertaining to Physical Description
@tag='308'	Notes Pertaining to Series
@tag='310'	Notes Pertaining to Binding and Availability
@tag='311'	Notes Pertaining to inking fields
@tag='312'	Notes Pertaining to Related Titles
@tag='313'	Notes Pertaining to Subject Access
@tag='314'	Notes Pertaining to Intellectual Responsibility
@tag='315'	Notes Pertaining to Material (or Type of Publication) Specific Information
@tag='316'	Note Relating to he Copy in Hand
@tag='317'	Provenance Note
@tag='318'	Action Note
@tag='320'	International Bibliographies/indexes note
